"37,936,530.26 ",""," 2,764,131 "," 42,000,980 ",""," 37,766,299.32 ",""," 4,234,658.91 ","","","","","","","","",""
"Project Details","Cost Center","Customer PO Number","Customer PO Value","Remaing Balance in PO","Vendor Name","Vendor Name","Cantik PO Date"," Cantik PO Value "," Remaining Bal In PO ","Vendor Invoice Frequency","Vendor Inv Number","Vendor Inv Date"," Vendor Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Payble ","Payment Status from NTT"," Payment Value ","Payment Date"," Pending Payment ","Remarks","Cantik Invoice No","Cantik Invoice Date"," Cantik Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Receivables ","Payment Recpt Date","Payment Advise No."
"","NTT-BMW- BMW-penetration Testing  - PT-0","4500093723","","","BUSYBOTS PRIVATE LIMITED","","","","","","38/2024","24-Feb-25"," 486,910.00 "," 574,554.00 "," 48,691 "," 525,863 "," Recd. "," 525,863.00 ","30-Jan-25"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500094574","","","BUSYBOTS PRIVATE LIMITED","","","","","","39/2024","1-Mar-25"," 146,000.00 "," 172,280.00 "," 14,600 "," 157,680 "," Recd. "," 157,680.00 ","30-Jan-25"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500094574","","","BUSYBOTS PRIVATE LIMITED","","","","","","41/2024","19-Mar-25"," 146,000.00 "," 172,280.00 "," 14,600 "," 157,680 "," Recd. "," 157,680.00 ","12-Mar-25"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500093705","","","BUSYBOTS PRIVATE LIMITED","","","","","","43/2024","21-Mar-25"," 435,448.00 "," 513,829.00 "," 43,545 "," 470,284 "," Recd. "," 470,284.00 ","12 May & 11 June & 30 Jun"," 0 ","","","","","","","","",""
"","GGN-NTT-BMW-RPA- PT 01","4500094807","","","BUSYBOTS PRIVATE LIMITED","","","","","","33/2024","23-Jan-25"," 237,500.00 "," 280,250.00 "," 23,750 "," 256,500 "," Recd. "," 256,500.00 ","11-Jun-25"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500095010","","","BUSYBOTS PRIVATE LIMITED","","","","","","32/2024","23-Jan-25"," 237,500.00 "," 280,250.00 "," 23,750 "," 256,500 "," Recd. "," 256,500.00 ","11-Jun-25"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500095007","","","BUSYBOTS PRIVATE LIMITED","","","","","","34/2024","23-Jan-25"," 380,000.00 "," 448,400.00 "," 38,000 "," 410,400 "," Recd. "," 410,400.00 ","15 Jan & 11 June"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500094574","","","BUSYBOTS PRIVATE LIMITED","","","","","","46/2025","1-May-25"," 146,000.00 "," 172,280.00 "," 14,600 "," 157,680 "," Recd. "," 157,680.00 ","1-Jul-25"," -   ","Sent to Finance on 01 July 2025","","","","","","","",""
"","GGN-NTT-BMW-RPA- PT 01","4500097457","","","BUSYBOTS PRIVATE LIMITED","","","","","","47/2025","13-May-25"," 36,178.00 "," 42,690.00 "," 3,618 "," 39,072 "," Recd. "," 39,072.00 ","11-Jun-25"," 0 ","","","","","","","","",""
"","GGN-NTT-HMSI-PT-01","4500089309","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/138","13-Jun-24"," 1,698,647.00 "," 2,004,403.00 "," 33,973 "," 1,970,430 "," Recd. "," 1,970,430 ","27-Jul-24"," 0 ","","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500090795","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/224","21-Nov-24"," 415,266.00 "," 490,014.00 "," 8,305 "," 481,709 "," Recd. ","481,708.00","30 Dec & 15 Jan 25"," 1 ","","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500090771-1","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/224","21-Nov-24"," 662,015.00 "," 781,178.00 "," 13,240 "," 767,938 "," Recd. ","767,937.00","30 Dec & 15 Jan 25"," 1 ","Highsky & Kaparthi Common PO","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500093849","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/276","15-Jan-25"," 379,155.00 "," 447,403.00 "," 7,583 "," 439,820 "," Recd. ","439,819.00","20-Feb-25"," 1 ","","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500090795","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/314","27-Feb-25"," 207,632.00 "," 245,006.00 "," 4,153 "," 240,853 "," Recd. ","240,853.00","28 Feb & 31 Mar & 19 Apr"," 0 ","","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","Duplicate Invoice for Oct'24 For Chandershekhar & Shriniwas","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/314","27-Feb-25"," 103,816.00 "," 122,503.00 "," 2,076 "," 120,427 "," Recd. ","120,427.00","28 Feb & 31 Mar & 19 Apr"," (0)","Dupilcate Invoice submit by vendor, will get the Credit note for the same","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","Duplicate Invoice for Oct'24 For Chandershekhar & Shriniwas","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/314","27-Feb-25"," 126,385.00 "," 149,134.00 "," 2,528 "," 146,606 "," Recd. ","146,607.00","28 Feb & 31 Mar & 19 Apr"," (1)","Dupilcate Invoice submit by vendor, will get the Credit note for the same","","","","","","","",""
